country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,23.7,27.5,29.3,,,
Angola,,,,,,,,,,10.4,10.4,10.4,,,,,,,,
Albania,,,,,,39,39,39,39,39,39,39,39,,,,,,,
United Arab Emirates,94.2,96.1,98,100,100,100,100,100,100,100,100,,,,,,,,,
Argentina,28.5,28.5,28.5,28.6,28.7,29.1,29.1,29.5,29.5,29.4,29.4,,,30,,,,,,
Armenia,99.2,96.6,96.7,96.7,97,96.7,96.7,96.8,96.8,,,,,91.3,90.1,90,89,89,90.5,93.6
Antigua and Barbuda,,,,,,,,,,,,,33,,,,,,,
Australia,35,35.7,36.4,37.1,37.9,38.6,38.7,,38.7,,,,,,41.6,,,42.5,42.7,43.5
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100
Azerbaijan,,,,,,,,,,,,,,,49.4,,50.6,,,
Burundi,,,,,,,,,,7.1,7.1,,,,10.4,,,,,
Belgium,,81.2,81.2,81.2,80.6,80.7,80.7,80.7,78.2,78.2,78.2,78.3,78.2,78,78,78.2,78.2,78.2,78.2,78.2
Benin,20,20,20,20,20,20,20,20,20,,,,,,9.5,,,,,
Burkina Faso,16.6,17.1,17.6,18.2,18.7,16,16,16,16,16,,,,,4.17,,,,,
Bangladesh,,7.2,6.6,6.9,9.3,7.9,8.4,9.5,9.53,9.53,9.53,,,9.5,,,,,,
Bulgaria,91.6,91.8,91.8,91.9,91.9,92,92,92,92.1,,,,,,,98.4,,,,
Bahrain,75.4,75.3,78.8,,,,75.8,76.5,76.9,77.4,77.6,75.3,78.9,79.1,79.7,80.3,80.8,81,81.5,82.1
Bahamas,52,53,54.1,55.1,56.3,57.4,57.4,57.4,57.4,57.4,57.4,57.4,,,,,,,,
Bosnia and Herzegovina,54,54.2,53,52.6,52.5,52.3,52.3,52.3,52.3,52.3,,,,,,52.3,,,,
Belarus,,95.8,96.3,98,98.4,98.6,98.8,98.2,95.6,,,,,86.4,87,88.6,,,,
Belize,,,,,,,19,16,17,17,17,17,,,,,,,,
Bolivia,4.3,4.4,4.2,4,4.7,5.5,5.5,5.7,6,6.4,6.6,6.7,6.7,7,7.34,6.91,6.93,6.81,7.88,7.88
Brazil,9.7,8.6,8.6,12.3,8.1,8.9,9.3,9.1,9.6,5.6,5.5,,,,,,,,,
Barbados,86.8,88.5,90.3,92.1,93.9,95.8,95.9,,98.6,98.6,98.6,98.6,98.6,100,100,,,,,
Brunei,31.4,32,32.6,33.3,33.9,34.6,,34.7,34.7,34.7,34.7,,,,79.1,78.4,78,80.1,81.1,
Bhutan,77.1,79.1,77.1,74.5,65.2,63.7,60.7,60.7,,,,,,62,,,,,,
Botswana,32,34,19.9,21.1,22.2,,,,,,,,35.3,35.1,33.2,32.6,,,,
Central African Republic,,,,,2.1,2.1,2.1,2.4,2.7,,,,,,,,,,,
Canada,35,37,35.2,,,35.3,,,,,,,,,39.9,,,,,
Switzerland,,,,,,,,,,,,,,100,100,100,100,100,100,100
Chile,13.8,13.8,13.8,13.8,13.8,15.9,16.7,17.2,18.3,18.9,18.4,20.2,,,26.3,21,21.3,21.4,21.8,22.4
China,,,,,,,,,,,,,,,,40.8,44.1,49.6,53.5,
Cote d'Ivoire,8.7,8.9,9.1,9.2,9.4,9.6,9.7,9.7,9.7,9.7,9.7,,,,8.12,,,7.93,,
Cameroon,10.5,10.9,11.3,11.7,12.1,12.5,12.5,12.5,12.5,12.5,8.1,,,,8.37,,17.4,,17,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,1.82,,,,,
"Congo, Rep.",9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,,,,5,,7.13,,,
Colombia,11.9,11.9,11.9,11.9,11.9,9.2,11.9,12,14.3,14.4,,,,,,,,,,
Comoros,69.3,70.7,72.1,73.5,75,76.5,,,76.5,76.5,76.5,76.5,,,,,,,,
Cape Verde,78,78,78,78,78,78,78,78,78,78,69,69,,,,,,,,
Costa Rica,15.3,15.8,15.8,16.3,16.3,16.7,17,17,21,22,22,22,22,24.6,24.4,,25.2,25.5,25.3,25.9
Cuba,50.5,51.5,52.6,53.6,54.7,55.8,55.9,49,49,49,49,49,,,,,,,,
Cyprus,59.6,59.1,58.4,57.4,57.2,57,57.2,57.3,59.2,59.6,60.6,61.2,62.2,63,63,64.6,65,64,64.6,64.9
Czech Republic,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,,,,,
Germany,99,99,99,99,99,99,99.1,,,,,,,100,,,,,,
Djibouti,,,,,,,,,,,45,45,,,,,,,,
Dominica,45.6,46.5,47.4,48.4,49.3,50.3,50.4,50.4,50.4,50.4,50.4,50.4,,,,,,,,
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,44.7,45.5,46.5,47.4,48.3,49.3,49.4,,,49.4,49.4,49.4,,,,,,,,
Algeria,67,70,66,66.7,68,68.9,68.9,68.9,68.9,68.9,68.9,,,,70.2,,,,73.5,74
Ecuador,13.4,13.6,14,14.2,,12.7,13.3,18.9,18.9,18.9,18.9,16.9,16.9,14.9,15,,14.8,14.8,,
Egypt,72,72,73,72,75,78,78.1,78.1,78.1,78.1,78.1,,,,81,,,,86.9,89.4
Eritrea,19.4,19.8,20.2,20.6,21,21.4,21.8,21.8,21.8,21.8,21.8,21.8,,,,,,,,
Spain,,99,99,99,99,99,99,99,99,99,99,99,,99,,,,,,
Estonia,51.8,52.4,54.4,54.5,50.3,54,53.2,50.8,22.1,21.3,20.1,19.7,24.8,23.4,22.1,22.7,,28.6,,
Ethiopia,15,15,15,15,15,15.5,15.3,15.3,14,13.3,12,12,12,12.9,19.1,11.1,11.6,13.7,,
Finland,61,61,62,62,63,63,64,64,64,64.5,62,64,64,64.6,64.7,65,65.3,65.4,65.5,
Fiji,44.5,45.4,46.3,47.2,48.2,49.1,49.2,49.2,49.2,49.2,49.2,49.2,,,,,,,,
France,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Micronesia, Fed. Sts.",15.9,16.3,16.6,16.9,17.3,17.6,17.7,17.5,17.5,17.5,17.5,17.5,,,,,,,,
Gabon,8.2,8.2,8.2,8.2,8.2,8.2,9.9,9.9,9.9,9.9,9.9,,,,10.2,,,12,,
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,93.8,93.8,93.8,93.6,93.5,93.5,93.5,93.7,93.4,,,,,,,,94.1,94.1,,
Ghana,19.6,23,23.5,23.9,24.4,24.9,24.1,,,29.6,29.6,18.4,,17.9,,14.9,,,16.1,12.6
Guinea,15.2,15.2,15.5,15.8,16.1,16.4,16.5,16.5,16.5,16.5,16.5,,,9.79,,,,,,
Gambia,,,,,,,,,,,,,,19.3,19.3,,,,,
Guinea-Bissau,8.3,8.7,9.1,9.4,9.8,10.2,10.3,10.3,10.3,,,,27.9,,,,,,,
Greece,91.7,91.7,91.7,91.7,91.7,91.7,91.8,91.8,91.8,91.8,91.8,,,,,,,,,
Grenada,55.4,56.5,57.7,58.8,60,61.2,61.3,61.3,61.3,61,61,61,,,,,,,,
Guatemala,24.9,25.4,25.9,26.4,26.9,26,25.8,26.4,31,34.5,34.5,34.5,,,,,,,,
Guyana,6.6,6.8,6.9,7,7.2,7.3,7.4,7.4,7.4,7.4,7.4,7.4,,,,,,,,
"Hong Kong, China",100,100,100,100,100,100,100,,,100,,,,100,100,100,100,100,100,100
Honduras,21.1,21.5,19,19.4,19.8,20.4,20.4,20.4,20.4,20.4,20.4,20.4,,,,,,,,
Croatia,,,,,,,81.5,81.5,84.4,84.6,85.4,84.9,,,,,,89.1,86.9,90.5
Haiti,21.9,22.4,22.8,23.3,23.8,24.2,24.3,24.3,24.3,24.3,24.3,24.3,,,,,,,,
Hungary,,,44.1,44.1,44.1,44.1,43.1,43.4,43.4,,,43.7,43.9,43.9,,,38,37.7,37.6,38
Indonesia,45.1,45.3,53.6,53.8,53.8,52.4,46.3,56.4,47.3,46.3,57.1,58.9,58,58.3,55.3,55.4,53,60.9,59.1,56.9
India,,47.3,51.9,54.4,54.9,55.4,54.7,56.5,57,46.7,47.5,47.7,47.4,,48.6,47,47.7,48.2,49.5,
Ireland,94,94,94,94,94,94,94.1,94.1,100,100,100,100,100,100,,,,100,100,
Iran,,,,,47.2,49.9,52.1,56.8,56.3,,,64.8,66.3,67.4,,71,73.3,,,
Iraq,77.9,79.4,81,82.6,84.3,86,86,,84.3,84.3,84.3,84.3,,,,,,,,
Iceland,19.9,20.8,22.1,23.7,24.7,24.8,25.9,25.7,27.1,28.1,29.5,30.6,31.5,,34.4,35.4,35.9,36.6,37.3,38.4
Israel,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,,,100,,,,,,
Jamaica,64,65.2,66.5,67.9,69.2,70.6,70.7,,70.1,70.1,70.1,,,73.3,73.3,73.3,,,,
Jordan,100,100,100,100,100,100,100,,,100,,,,100,100,100,100,100,100,100
Japan,69.2,70.1,71.1,72.1,73,73.6,74.3,74.9,76,76.1,76.6,77.1,77.7,78.2,,79,79.3,79.6,79.9,80.1
Kazakhstan,55.1,68.7,70.6,70.4,73.5,76.3,80.5,82.8,86.5,,,,,94,93.4,91.2,91.4,90.3,89.9,88.5
Kenya,12.8,13.3,13.8,14.3,13.6,13.8,12.1,12.1,12.1,12.1,12.1,,,,14.1,,,,14.6,14.3
Kyrgyz Republic,90,90,91,91,91,91,91.1,91.1,91.1,91.1,91.1,91.1,,,,,,,,
Cambodia,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,6.29,,,,,
St. Kitts and Nevis,38.5,39.3,40,40.8,41.7,42.5,42.5,42.5,42.5,42.5,,,,,,,,,,
South Korea,71.5,76.4,80.8,84.7,77.8,76,72.7,74,74.5,74.5,74.5,76.7,76.7,76.9,86.8,76.8,77.5,78.3,78.5,79.3
Kuwait,72.9,74.4,75.9,77.4,78.9,80.5,80.6,80.6,80.6,80.6,80.6,,,84.4,85,,,,,
Lao,24,16,16,16,16,13.8,,,,,,,14.1,14.4,,13.4,12.9,13.1,13.5,13.7
Lebanon,95,95,95,95,95,95,95,,,84.9,,,,,,,,,,
Liberia,5.5,5.6,5.7,5.9,6,6.1,6.2,6.2,6.2,6.2,6.2,6.2,,,,,,,,
Libya,51.7,52.7,53.8,54.9,56,57.1,,,,57.2,57.2,57.2,,,,,,,,
Sri Lanka,,,,,,,,,,,,,85.8,81,,,,,,
Lesotho,18,17,16,15,15,17.9,17.9,16.8,17.3,18.3,18.3,18.3,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,28.3,28.4,28.6,29.2,29.4
Luxembourg,99.1,99.1,99.1,97.8,99.1,99,100,99,100,100,100,100,100,100,100,,,,,
Latvia,,,,,,,,,,,,,100,100,,,,,20.4,20.9
"Macao, China",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Morocco,49.1,49.5,49.5,49.6,50.2,50.2,50.2,52.3,52.3,56.3,56.4,56.4,56.4,56.9,56.9,61.9,61.9,62,62,70.3
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,,,,,100,100,100,100
Moldova,87.1,86.1,85.1,86.4,86.6,87.3,86.9,86.9,87,87,86.1,,86,86.2,86.2,86.3,85.5,85.7,85.8,85.8
Madagascar,15.4,15.4,15.4,11.5,,11.5,11.6,,,11.6,11.6,11.6,,,,,,,,
Maldives,,,,,,,,,,,,,,,,100,,,,
Mexico,35.1,,35.5,36,31,31.3,31.8,29.7,34.3,32.8,32.8,,33.5,35.8,36.3,37,33.5,35,35.3,
North Macedonia,58.9,59.2,59.7,60,61.6,63.3,63.8,63.8,63.8,63.8,,,,51.7,52.9,55.6,54.3,56.2,56.5,57.6
Mali,10.9,11.1,11.3,11.5,11.8,12,12.1,12.1,12.1,12.1,12.1,,,,18,19,,,25.1,24.6
Malta,,,,,95,95,95,95,95,,88,88,90,87.5,87.5,,,,87.5,
Myanmar,10.9,11.2,11.4,11.6,11.9,12.1,12.2,,,11.4,11.4,,,,,11.8,,,,
Mongolia,,,,,2.6,3.3,3.3,3.4,3.4,3.5,3.5,3.5,3.5,,,,,,,
Mozambique,16.8,17.2,17.5,17.8,18.2,18.6,18.7,18.7,18.7,18.7,18.7,18.7,,,,,,,20.8,20.8
Mauritania,,,,,,,,,,,,,,,32.6,30.3,26.9,26.9,,
Mauritius,93,93,93,93,93,93,95,95,96,96,97,98,98,100,100,100,98,98,98,98
Malawi,,,,,,,,,,,,,,45,,,,,,
Malaysia,70,71.3,73.3,74.1,74,73.9,74,74.5,75.6,75.3,76.2,77.9,,80.8,81.3,,,,,
Namibia,10.8,10.9,10.9,7.3,7.9,7.9,11.4,13.2,13.5,13.6,,,12.8,,,,,,,14.7
Niger,29,,,,,,,,,,,25.7,25.7,24.9,20.4,20.6,20.5,20.6,20.6,
Nigeria,,,,,,,,,,,,,,,15,,,,,
Nicaragua,10.5,10.5,10.5,10.6,10.7,10,,,,,11.1,11.4,11.4,,,,,12,11.7,11.6
Netherlands,88,88,88,88,89,90,90,90,90,90,90,,,,,,,,,
Norway,69,69.8,70.2,71,72.5,73.5,72,74,74.5,75.5,76,77,77.5,,,,79.6,80.5,,80.7
Nepal,37.5,38.2,39,39.7,40.5,41.4,41.5,,,,,,,53.9,55.7,56.1,55.9,55.1,53.9,
New Zealand,57,58,58,58,58,60.4,60.8,61.3,61.3,61.9,62.8,63,64,64.3,64.5,64.9,65,65.4,65.9,66.2
Oman,21,21.6,21.2,21.5,19.7,20.4,30,30,30,30,30,27.7,,33.2,36.7,39.7,42.1,41.3,43.5,46
Pakistan,54,53,53,54,54,45,44,44,53,55,56,59,,60,64.7,,65.4,,,
Panama,32,32.2,32.4,32.7,33.4,33.5,33.6,29.4,28.1,34.6,34.6,34.6,,,,,34.1,36.6,38.1,42
Peru,9.9,10,10.3,10.5,10.9,11.4,11.6,11.8,13,13,13.3,13.4,14.4,13.1,14.4,,13.9,,,
Philippines,,,,,16.6,16.7,17.4,17.7,19.8,20,,,9.5,9.9,,,,,,
Papua New Guinea,3.2,3.2,3.3,3.3,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,
Poland,61.6,63.4,64.1,64.5,64.9,65.3,65.4,65.7,65.6,65.6,68.3,68.3,,69.7,,66.5,66.8,67.6,68.2,69.9
Puerto Rico,,,,,,,,,,,94,94,,,95,,,,,
North Korea,5.7,5.8,6,6.1,6.2,6.3,6.4,6.4,6.4,6.4,6.4,,,,,,2.83,,,
Portugal,,,,,86,,,,,86,86,,,,86,,,,,
Paraguay,,,,,,,,,,,50.8,50.8,,,,,,,,
Palestine,,,,,,,,,,,,,100,100,100,100,100,,,91.7
Qatar,85.6,86.5,87.3,88.2,89.1,90,90,90,90,90,90,,,,,,,,,
Romania,,51,51,51,51,51,52.3,52.8,53.1,53,49.5,50.5,50.4,30.2,30.2,,,,,
Russia,74.2,75.8,,,,,,,67.2,67.4,,,,,,84.4,80.9,80.1,,
Rwanda,9,9.2,9.4,9.6,9.7,9.9,,,,,,,,,19,,,,,
Saudi Arabia,40.6,39.5,40,40.9,41.8,30.1,29.8,30.1,,,29.9,,,,,21.5,,,,
Sudan,33.8,33.7,33.7,34.5,35.4,36.2,36.3,36.3,36.3,36.3,36.3,36.3,,,,,,,,
Senegal,27.2,27.8,28.3,28.3,28.4,28.5,29.3,29.3,29.3,29.3,29.3,,,29.3,,,,,,32
Singapore,97.1,97.1,97.1,97.2,97.2,97.3,97.3,97.3,100,100,100,100,100,100,100,100,100,100,100,100
Solomon Islands,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.5,2.5,2.44,2.44,2.44,,,,,,,,
Sierra Leone,10.6,10.8,11,11,11,8,8,8,8,7.9,7.9,,8,,,,,,,
El Salvador,14.4,14.2,14.2,19.9,20,20,19.9,19.8,19.8,19.8,19.8,19.8,,,,,,,,
Somalia,11.1,11.3,11.5,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,,,,,,,,
Serbia,,,,,,,,,,,62.7,,,,,,,,47.7,63.2
Sao Tome and Principe,61.6,62.8,64.1,65.4,66.7,68,68.1,68.1,68.1,68.1,68.1,68.1,,,,,,,,
Suriname,24,24.5,26,26,26,26,26,,,26,26,26,26,26.3,,,,,,
Slovak Republic,,,,,,85.8,85.8,86.6,86.7,,87,87,87.3,87.3,87.3,87,87,,87,87.1
Slovenia,72,74,75,77,79,80.2,81.2,81.7,100,,100,100,100,100,100,100,100,100,100,100
Sweden,,,,,,,,,,,,,,31.2,30.5,31.5,31.6,31.7,23.6,24.4
Eswatini,,,,,28.2,,,,,,,,30,,,,,,,
Seychelles,56.9,58,59.1,60.3,61.5,62.8,80.3,84.5,,,,,,96,,96,96,96.5,96.5,96.5
Syria,,,,,,,,,,,,,,93.6,94.6,95.2,95.8,93,91.3,90.3
Chad,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,
Togo,21.2,21.6,31,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,,,,,,21,,
Thailand,,88.4,89.7,92.8,94.7,97.4,97.5,97.5,97.5,97.5,98.5,,,,,,,,,
Tajikistan,71.6,74.1,76.7,78.7,80.7,82.7,,,,,,,,,,,,,,
Turkmenistan,73.5,75,76.5,78,,,,,,81.2,81.2,81.2,,,,,,,,
Tonga,,,,,,27,27,27,27,27,27,27,,,,,,,,
Trinidad and Tobago,46.2,47.1,48.1,49,50,51,51.1,51.1,51.1,51.1,51.1,51.1,,,,,,,,
Tunisia,76.1,75.5,74.6,76,77.4,78.8,78.9,78.9,63.7,63.8,68.4,65.4,,,65.8,,,,75.2,75.2
Turkey,,,,,,23,25,25,28,34,,,,,,,,,88.5,88.7
Tanzania,,,,,,,,,,,,,,8.63,,,,,7.38,6.67
Uganda,,,,,,,,,,,,,,23,,,,,,
Ukraine,93.7,94.2,94.6,94.9,94.4,94.8,95,95,96.5,96.6,96.7,96.7,96.8,96.4,97.2,97.4,97.7,97.8,97.8,97.8
Uruguay,,,,,,,,,,,,,,,9.96,,,,,
United States,,,,,,,,,,,,,,66.2,64.5,65.3,,65.1,67.4,
Uzbekistan,79,80.5,,83.8,85.5,87.2,87.3,,87.3,87.3,87.3,87.3,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,63,65,68,70,70,70,,,,,,
Venezuela,35.6,36.3,37,37.8,35.4,35.4,35.4,33.6,33.6,33.6,33.6,33.6,,,,,,,,
Vietnam,23.5,23.9,24.4,24.9,25.4,25.9,25.1,25.1,25.1,,,,,,43.9,,47,47.6,,
Vanuatu,21.6,22,22.5,22.9,23.4,23.8,23.9,23.9,23.9,23.9,23.9,23.9,,,,,,,,
Samoa,,,,,,,,,,,,14.2,,,,,,,,
Yemen,9.1,9.1,9.4,9.5,8.1,7.9,8.1,,,,,,,,,8.7,,,,
South Africa,,,,,,,19.7,19.7,19.7,20.3,20.3,17.3,,,,,,,,
Zambia,16.6,16.9,17.3,17.6,18,,,,,,,22,,,,,,,,
Zimbabwe,14,15,16,17,54.9,48,47.4,47.4,47.4,,,,19,,,,,,,
